"bague","sexe","age","masse","parasites"
"E09801",4,1,3.2,0
"E09802",4,2,3,0
"E09808",4,1,3.5,3
"E09809",4,1,3.6,0
"E09810",4,1,3.6,0
"E09812",5,1,3.9,0
"E09815",5,1,4.1,0
"E09815",5,1,3.9,11
"E09816",5,1,3.7,5
"E09817",5,1,3.3,4
"E09819",5,1,4.3,0
"E09819",5,1,3.7,0
"E09819",5,1,3.6,4
"E09819",5,1,4.1,0
"E09820",5,1,3.9,13
"E09821",5,1,3.9,13
"E09822",5,1,3.6,0
"E09822",5,1,3.7,0
"E09822",5,1,3.8,0
"E09836",5,1,3.6,2
"E09836",5,1,3.4,4
"E09837",5,1,3.3,0
"E09838",5,1,3.5,0
"E09844",5,1,3.3,0
"E09845",5,1,3.6,0
"E09845",5,1,3.5,0
"E09846",5,1,3.3,0
"E09848",5,1,4,0
"E09854",5,1,4,0
"E09854",5,1,3.8,3
"E09855",5,1,3.8,1
"E09856",5,1,5.2,0
"E09856",5,1,3.8,3
"E09857",5,1,3.7,0
"E09869",5,1,3.3,4
"E09870",5,1,3.4,0
"E09871",5,1,3.6,0
"E09872",5,1,4,5
"E09873",5,1,4.1,0
"E09873",5,1,3.5,10
"E09874",5,1,4,1
"E09874",5,1,3.3,1
"E09874",5,1,4,0
"E09889",5,1,4.1,3
"E09889",5,1,3.6,2
"E09890",5,1,3.7,0
"E09901",4,2,3.1,1
"E09901",4,1,2.8,0
"E09902",4,2,3.2,2
"E09903",4,2,2.9,4
"E09904",4,1,3.3,0
"E09905",4,2,3,0
"E09905",4,1,3.1,0
"E09906",4,2,3.1,0
"E09907",4,2,3.2,9
"E09938",4,1,2.8,0
"E09938",4,1,2.5,0
"E09939",4,1,3.1,5
"E09951",4,1,3.5,9
"E09952",4,1,2.5,6
"E09952",4,1,2.8,NA
"E09954",4,1,2.8,1
"E09954",4,1,2.5,5
"E09982",4,1,2.9,11
"E09992",4,1,2.8,1
"E09992",4,1,2.8,0
"E09993",4,1,2.7,2
"E09994",4,1,2.9,15
"E09995",4,1,2.8,0
"E09997",4,1,2.8,4
"E09998",4,1,2.5,2
"E10007",5,1,3.3,1
"E10007",5,1,3.3,9
"E10008",5,1,3.8,1
"E10016",5,1,3.6,1
"E10017",5,1,3.9,0
"E10017",5,1,3.7,0
"E10023",5,1,4.1,1
"E10024",5,1,3.6,1
"E10025",5,1,3.2,0
"E10025",5,1,3.1,3
"E10026",5,1,3.5,0
"E10027",5,1,3.5,13
"E10027",5,1,3.2,0
"E10028",5,1,4,10
"E10029",5,1,3.9,11
"E10029",5,1,4.2,0
"E10030",5,1,3.7,0
"E10039",5,1,3.1,0
"E10044",5,1,3.1,14
"E10045",5,1,3.9,0
"E10046",5,2,3.5,4
"E10049",5,1,3.5,2
"E10050",5,2,3.1,0
"E10051",5,2,3.3,7
"E10053",5,2,3.8,1
"E10055",5,1,3.9,1
"E10056",5,1,3.7,13
"E10057",5,1,3.9,3
