"esp","traitement","substrat","frequence","germ"
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A1","A","un",1
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",0
"calumbi","A1","A","un",1
"calumbi","A3","A","trois",1
"calumbi","A3","A","trois",1
"calumbi","A3","A","trois",0
"calumbi","A3","A","trois",0
"calumbi","A3","A","trois",0
"calumbi","A3","A","trois",1
"calumbi","A3","A","trois",1
"calumbi","A3","A","trois",1
"calumbi","A3","A","trois",1
"calumbi","A3","A","trois",0
"calumbi","A3","A","trois",1
