Sample	PCOA1	PCOA2	LocType	Month	Compartment	Microsite	Location	CoMoss	Vege1	Vege2	Vege3	Vege4	SoilMoisture	SoilpH	SiteHumidity	AmbientTemp	SoilTemp	OrgLayer	LeafLitter	LeafLitterSpec	Canopy	Host
S-1-DICUND-B	-3.6917857930153337	1.5194409064997514	Natural	September	Brown	U	Eastmain 2	NA	alncri	rhogro	NA	NA	224.22	4.11	67	29.5	14.5	0	None	none	69.22	D_undulatum
S-1-POLCOM-B	-1.1044940100753033	-1.7818134155635994	Natural	September	Brown	R	Eastmain 2	NA	vacbor	pinban	rhogro	salixsp	6.57	5.22	56	22.4	12.5	2	High	vacbor	37.66	P_commune
S-1-POLCOM-G	-0.8062760000938348	-2.2477966688875397	Natural	September	Green	R	Eastmain 2	NA	vacbor	pinban	rhogro	salixsp	6.57	5.22	56	22.4	12.5	2	High	vacbor	37.66	P_commune
S-1-POLJUN-B	-0.5783288049860674	-1.6235058608128654	Natural	September	Brown	P	Eastmain 1	NA	salixsp 	alninc	pinban	NA	7.76	5.08	73	17.5	14.6	0	High	alninc	62.42	P_juniperinum
S-1-POLJUN-G	0.5506536086078992	-1.9178104568276682	Natural	September	Green	P	Eastmain 1	NA	salixsp 	alninc	pinban	NA	7.76	5.08	73	17.5	14.6	0	High	alninc	62.42	P_juniperinum
S-1-POLPIL-B	1.122984622958508	1.0121541466647273	Natural	September	Brown	J	Chemin PK	polstr	alninc	betpap	picmar	NA	14.99	4.8	45	26.5	19	0	Low	alninc	64.38	P_piliferum
S-10-POLJUN-B	-1.141985846272199	1.5841553314573058	Natural	September	Brown	AA	Nemaska community intersection	NA	kalang	alninc	NA	NA	21.84	4.86	63	25.9	16.4	0	Medium	pinban	72.05	P_juniperinum
S-10-POLJUN-G	0.9310937545392597	-0.07496639951310902	Natural	September	Green	AA	Nemaska community intersection	NA	kalang	alninc	NA	NA	21.84	4.86	63	25.9	16.4	0	Medium	pinban	72.05	P_juniperinum
S-10-POLPIL-B	1.2846538955243016	0.7254998781670984	Natural	September	Brown	M	Eastmain 1	polstr	alninc	popbal	NA	NA	8.83	5.18	70	18.1	14.6	0	Medium	alninc	76.76	P_piliferum
S-10-POLPIL-G	1.6321684116767865	0.2988000497528805	Natural	September	Green	M	Eastmain 1	polstr	alninc	popbal	NA	NA	8.83	5.18	70	18.1	14.6	0	Medium	alninc	76.76	P_piliferum
