"height","width","height_ini","row","col","deer","fert","spacing","cover"
362,162,14,1,2,1,0,15,2
442,250,17,1,3,0,0,15,1
369,176,24,1,5,0,0,15,2
365,215,22,1,6,0,0,15,1
356,238,18,1,7,0,0,15,0
365,219,32,1,8,0,0,15,1
329,209,22,1,10,1,1,15,2
298,154,17,1,11,0,1,15,1
245,167,17,1,12,0,1,15,0
275,190,21,1,14,0,1,15,1
333,140,29,1,15,0,1,15,2
366,180,29,1,16,0,1,15,2
199,84,18,1,18,1,1,15,2
336,163,16.5,2,2,1,0,15,3
367,200,22.5,2,3,1,0,15,1
331,182,19.5,2,5,1,0,15,2
371,200,29,2,6,0,0,15,1
301,170,18,2,7,1,0,15,0
313,175,32,2,8,1,0,15,0
321,200,18,2,10,0,1,15,3
315,140,18,2,11,0,1,15,0
271,137,18.5,2,12,0,1,15,2
277,185,22,2,13,0,1,15,1
341,210,25,2,14,1,1,15,0
349,169,18,2,15,1,1,15,1
334,160,18,2,16,0,1,15,0
303,130,18,2,17,0,1,15,1
382,196,26,2,18,0,1,15,3
267,162,20,3,3,1,0,15,0
750,145,9,3,4,0,0,15,2
385,254,21,3,5,0,0,15,0
320,168,15,3,6,0,0,15,3
325,169,29,3,7,1,0,15,0
278,171,11,3,8,0,0,15,3
349,217,10,3,9,0,0,15,0
392,274,13,3,10,1,1,15,0
352,255,6,3,11,0,1,15,1
158,90,20,3,12,0,1,15,3
327,228,26,3,13,0,1,15,2
400,215,23,3,15,1,1,15,1
279,147,25,3,17,0,1,15,2
312,190,13,3,18,1,1,15,1
333,174,15,4,1,1,0,15,2
327,209,30,4,2,0,0,15,2
386,202,8,4,3,1,0,15,1
310,181,15,4,4,0,0,15,0
361,221,17,4,6,1,0,15,1
388,281,21,4,7,1,0,15,2
380,223,19,4,8,1,0,15,1
353,258,20,4,9,1,0,15,2
340,191,15,4,10,1,1,15,1
212,98,9,4,11,1,1,15,0
373,271,22,4,12,1,1,15,0
293,211,19,4,13,1,1,15,1
333,178,14,4,14,1,1,15,3
