Sample	Family	Host	Compartment	seq_count
S-1-DICUND-B	Acetobacteraceae	D_undulatum	Brown	892
S-1-DICUND-B	Acidobacteriaceae	D_undulatum	Brown	4470
S-1-DICUND-B	Baltobacteraceae	D_undulatum	Brown	1153
S-1-DICUND-B	Beijerinckiaceae	D_undulatum	Brown	732
S-1-DICUND-B	Burkholderiaceae	D_undulatum	Brown	2431
S-1-DICUND-B	Jatrophihabitantaceae	D_undulatum	Brown	0
S-1-DICUND-B	Nostocaceae	D_undulatum	Brown	672
S-1-DICUND-B	Solirubrobacteraceae	D_undulatum	Brown	9901
S-1-DICUND-B	Steroidobacteraceae	D_undulatum	Brown	9872
S-1-DICUND-B	Streptosporangiaceae	D_undulatum	Brown	3259
S-1-POLCOM-B	Acetobacteraceae	P_commune	Brown	36597
S-1-POLCOM-B	Acidobacteriaceae	P_commune	Brown	44814
S-1-POLCOM-B	Baltobacteraceae	P_commune	Brown	43966
S-1-POLCOM-B	Beijerinckiaceae	P_commune	Brown	7745
S-1-POLCOM-B	Burkholderiaceae	P_commune	Brown	4422
S-1-POLCOM-B	Jatrophihabitantaceae	P_commune	Brown	239
S-1-POLCOM-B	Nostocaceae	P_commune	Brown	878
S-1-POLCOM-B	Solirubrobacteraceae	P_commune	Brown	10633
S-1-POLCOM-B	Steroidobacteraceae	P_commune	Brown	23372
S-1-POLCOM-B	Streptosporangiaceae	P_commune	Brown	6041
S-1-POLCOM-G	Acetobacteraceae	P_commune	Green	13313
S-1-POLCOM-G	Acidobacteriaceae	P_commune	Green	12055
S-1-POLCOM-G	Baltobacteraceae	P_commune	Green	16881
S-1-POLCOM-G	Beijerinckiaceae	P_commune	Green	8865
S-1-POLCOM-G	Burkholderiaceae	P_commune	Green	3378
S-1-POLCOM-G	Jatrophihabitantaceae	P_commune	Green	174
S-1-POLCOM-G	Nostocaceae	P_commune	Green	0
S-1-POLCOM-G	Solirubrobacteraceae	P_commune	Green	4066
S-1-POLCOM-G	Steroidobacteraceae	P_commune	Green	5225
S-1-POLCOM-G	Streptosporangiaceae	P_commune	Green	733
S-1-POLJUN-B	Acetobacteraceae	P_juniperinum	Brown	15383
S-1-POLJUN-B	Acidobacteriaceae	P_juniperinum	Brown	23459
S-1-POLJUN-B	Baltobacteraceae	P_juniperinum	Brown	1678
S-1-POLJUN-B	Beijerinckiaceae	P_juniperinum	Brown	6800
S-1-POLJUN-B	Burkholderiaceae	P_juniperinum	Brown	39237
S-1-POLJUN-B	Jatrophihabitantaceae	P_juniperinum	Brown	6626
S-1-POLJUN-B	Nostocaceae	P_juniperinum	Brown	3427
S-1-POLJUN-B	Solirubrobacteraceae	P_juniperinum	Brown	1622
S-1-POLJUN-B	Steroidobacteraceae	P_juniperinum	Brown	12294
S-1-POLJUN-B	Streptosporangiaceae	P_juniperinum	Brown	173
S-1-POLJUN-G	Acetobacteraceae	P_juniperinum	Green	27396
S-1-POLJUN-G	Acidobacteriaceae	P_juniperinum	Green	8464
S-1-POLJUN-G	Baltobacteraceae	P_juniperinum	Green	1396
S-1-POLJUN-G	Beijerinckiaceae	P_juniperinum	Green	9950
S-1-POLJUN-G	Burkholderiaceae	P_juniperinum	Green	22198
S-1-POLJUN-G	Jatrophihabitantaceae	P_juniperinum	Green	3318
S-1-POLJUN-G	Nostocaceae	P_juniperinum	Green	129
S-1-POLJUN-G	Solirubrobacteraceae	P_juniperinum	Green	521
S-1-POLJUN-G	Steroidobacteraceae	P_juniperinum	Green	5275
S-1-POLJUN-G	Streptosporangiaceae	P_juniperinum	Green	0
S-1-POLPIL-B	Acetobacteraceae	P_piliferum	Brown	48578
S-1-POLPIL-B	Acidobacteriaceae	P_piliferum	Brown	98935
S-1-POLPIL-B	Baltobacteraceae	P_piliferum	Brown	2402
S-1-POLPIL-B	Beijerinckiaceae	P_piliferum	Brown	7548
S-1-POLPIL-B	Burkholderiaceae	P_piliferum	Brown	920
S-1-POLPIL-B	Jatrophihabitantaceae	P_piliferum	Brown	698
S-1-POLPIL-B	Nostocaceae	P_piliferum	Brown	33735
S-1-POLPIL-B	Solirubrobacteraceae	P_piliferum	Brown	803
S-1-POLPIL-B	Steroidobacteraceae	P_piliferum	Brown	2460
S-1-POLPIL-B	Streptosporangiaceae	P_piliferum	Brown	652
S-10-POLJUN-B	Acetobacteraceae	P_juniperinum	Brown	21519
S-10-POLJUN-B	Acidobacteriaceae	P_juniperinum	Brown	12351
S-10-POLJUN-B	Baltobacteraceae	P_juniperinum	Brown	21506
S-10-POLJUN-B	Beijerinckiaceae	P_juniperinum	Brown	1702
S-10-POLJUN-B	Burkholderiaceae	P_juniperinum	Brown	4681
S-10-POLJUN-B	Jatrophihabitantaceae	P_juniperinum	Brown	660
S-10-POLJUN-B	Nostocaceae	P_juniperinum	Brown	59424
S-10-POLJUN-B	Solirubrobacteraceae	P_juniperinum	Brown	522
S-10-POLJUN-B	Steroidobacteraceae	P_juniperinum	Brown	9643
S-10-POLJUN-B	Streptosporangiaceae	P_juniperinum	Brown	5516
S-10-POLJUN-G	Acetobacteraceae	P_juniperinum	Green	12566
S-10-POLJUN-G	Acidobacteriaceae	P_juniperinum	Green	9863
S-10-POLJUN-G	Baltobacteraceae	P_juniperinum	Green	4633
S-10-POLJUN-G	Beijerinckiaceae	P_juniperinum	Green	10112
S-10-POLJUN-G	Burkholderiaceae	P_juniperinum	Green	16508
S-10-POLJUN-G	Jatrophihabitantaceae	P_juniperinum	Green	4446
S-10-POLJUN-G	Nostocaceae	P_juniperinum	Green	18235
S-10-POLJUN-G	Solirubrobacteraceae	P_juniperinum	Green	1868
S-10-POLJUN-G	Steroidobacteraceae	P_juniperinum	Green	2191
S-10-POLJUN-G	Streptosporangiaceae	P_juniperinum	Green	173
S-10-POLPIL-B	Acetobacteraceae	P_piliferum	Brown	33122
S-10-POLPIL-B	Acidobacteriaceae	P_piliferum	Brown	60351
S-10-POLPIL-B	Baltobacteraceae	P_piliferum	Brown	174
S-10-POLPIL-B	Beijerinckiaceae	P_piliferum	Brown	12493
S-10-POLPIL-B	Burkholderiaceae	P_piliferum	Brown	3412
S-10-POLPIL-B	Jatrophihabitantaceae	P_piliferum	Brown	1366
S-10-POLPIL-B	Nostocaceae	P_piliferum	Brown	5057
S-10-POLPIL-B	Solirubrobacteraceae	P_piliferum	Brown	1004
S-10-POLPIL-B	Steroidobacteraceae	P_piliferum	Brown	2762
S-10-POLPIL-B	Streptosporangiaceae	P_piliferum	Brown	10048
S-10-POLPIL-G	Acetobacteraceae	P_piliferum	Green	14588
S-10-POLPIL-G	Acidobacteriaceae	P_piliferum	Green	25157
S-10-POLPIL-G	Baltobacteraceae	P_piliferum	Green	0
S-10-POLPIL-G	Beijerinckiaceae	P_piliferum	Green	9404
S-10-POLPIL-G	Burkholderiaceae	P_piliferum	Green	1528
S-10-POLPIL-G	Jatrophihabitantaceae	P_piliferum	Green	293
S-10-POLPIL-G	Nostocaceae	P_piliferum	Green	2311
S-10-POLPIL-G	Solirubrobacteraceae	P_piliferum	Green	378
