"","block","plot","species","functional_div","species_richness","genus","group","PLOTID","X","Y","MONO","rel.abund.gym","UniqueID","biomass","volume","Wd","Seed.mass","LMA","Nmass","Amass","Llo"
"s136","A","12N","ABBA",5,12,"Abies","Gymno","A12N",3,6,"notmono",0.5833333,"A12NABBA",25388.081675,76933.5808333333,0.33,7.6,143,1.45,50,84
"s183","A","12N","ACRU",5,12,"Acer","Angio","A12N",3,6,"notmono",0.5833333,"A12NACRU",84937.0783706668,173340.976266667,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s101","A","12N","ACSA",5,12,"Acer","Angio","A12N",3,6,"notmono",0.5833333,"A12NACSA",162071.786986666,289413.905333333,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s67","A","12N","BEAL",5,12,"Betula","Angio","A12N",3,6,"notmono",0.5833333,"A12NBEAL",151029.453153333,274599.005733333,0.55,1,46.08294931,2.2,206,5.5
"s70","A","12N","BEPA",5,12,"Betula","Angio","A12N",3,6,"notmono",0.5833333,"A12NBEPA",3917467.57808,8161390.78766667,0.48,0.3,85.50806324,2.208401667,195,5.5
"s181","A","12N","LALA",5,12,"Larix","Gymno","A12N",3,6,"notmono",0.5833333,"A12NLALA",939965.231753332,1918296.39133333,0.49,2,120.0000005,1.355,59.41951,6
"s165","A","12N","PIGL",5,12,"Picea","Gymno","A12N",3,6,"notmono",0.5833333,"A12NPIGL",47400.3913129999,143637.549433333,0.33,2.4,302.86,1.28,35.58,50
"s139","A","12N","PIRE",5,12,"Pinus","Gymno","A12N",3,6,"notmono",0.5833333,"A12NPIRE",27318.054,66629.4,0.41,9,294.12,1.17,24,36
"s182","A","12N","PIRU",5,12,"Picea","Gymno","A12N",3,6,"notmono",0.5833333,"A12NPIRU",8612.44627833332,23276.8818333333,0.37,3.3,263,1.2,32,55
"s124","A","12N","PIST",5,12,"Pinus","Gymno","A12N",3,6,"notmono",0.5833333,"A12NPIST",46893.436344,137921.8716,0.34,17,121.9153937,1.423333333,43.79823667,20
"s131","A","12N","QURU",5,12,"Quercus","Angio","A12N",3,6,"notmono",0.5833333,"A12NQURU",706574.983146665,1261741.04133333,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s81","A","2N1","PIRE",1,2,"Pinus","Gymno","A2N1",5,7,"notmono",1,"A2N1PIRE",239916.881443611,585163.125472222,0.41,9,294.12,1.17,24,36
"s115","A","2N1","PIRU",1,2,"Picea","Gymno","A2N1",5,7,"notmono",1,"A2N1PIRU",69657.5688376111,188263.699561111,0.37,3.3,263,1.2,32,55
"s55","A","2N2","LALA",2,2,"Larix","Gymno","A2N2",2,8,"notmono",1,"A2N2LALA",901146.659132224,1839074.81455556,0.49,2,120.0000005,1.355,59.41951,6
"s52","A","2N2","PIST",2,2,"Pinus","Gymno","A2N2",2,8,"notmono",1,"A2N2PIST",45174.0813623332,132864.945183333,0.34,17,121.9153937,1.423333333,43.79823667,20
"s199","A","2N3","BEAL",3,2,"Betula","Angio","A2N3",5,3,"notmono",0,"A2N3BEAL",414122.439460278,752949.889927778,0.55,1,46.08294931,2.2,206,5.5
"s301","A","2N3","QURU",3,2,"Quercus","Angio","A2N3",5,3,"notmono",0,"A2N3QURU",565167.329172443,1009227.37352222,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s197","A","2N4","BEPA",4,2,"Betula","Angio","A2N4",5,4,"notmono",0,"A2N4BEPA",1061655.16703733,2211781.59799444,0.48,0.3,85.50806324,2.208401667,195,5.5
"s198","A","2N4","QURU",4,2,"Quercus","Angio","A2N4",5,4,"notmono",0,"A2N4QURU",138124.231497778,246650.413388889,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s157","A","2N5","PIGL",5,2,"Picea","Gymno","A2N5",3,5,"notmono",1,"A2N5PIGL",117843.2873365,357100.870716667,0.33,2.4,302.86,1.28,35.58,50
"s127","A","2N5","PIST",5,2,"Pinus","Gymno","A2N5",3,5,"notmono",1,"A2N5PIST",228786.429212222,672901.262388889,0.34,17,121.9153937,1.423333333,43.79823667,20
"s57","A","2N6","ABBA",6,2,"Abies","Gymno","A2N6",4,7,"notmono",0.5,"A2N6ABBA",27624.366682,83710.2020666667,0.33,7.6,143,1.45,50,84
"s83","A","2N6","ACRU",6,2,"Acer","Angio","A2N6",4,7,"notmono",0.5,"A2N6ACRU",619484.575190832,1264254.23508333,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s300","A","2N7","ACSA",7,2,"Acer","Angio","A2N7",1,2,"notmono",0.5,"A2N7ACSA",262570.848573895,468876.515310526,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s294","A","2N7","LALA",7,2,"Larix","Gymno","A2N7",1,2,"notmono",0.5,"A2N7LALA",397496.453572235,811217.252188235,0.49,2,120.0000005,1.355,59.41951,6
