Sample	Phylum	Host	Compartment	Seq_count
S-1-DICUND-B	Acidobacteriota	D_undulatum	Brown	11139
S-3-DICUND-B	Acidobacteriota	D_undulatum	Brown	8091
S-4-DICUND-B	Acidobacteriota	D_undulatum	Brown	7799
S-5-DICUND-B	Acidobacteriota	D_undulatum	Brown	16498
S-6-DICUND-B	Acidobacteriota	D_undulatum	Brown	29433
S-7-DICUND-B	Acidobacteriota	D_undulatum	Brown	18173
S-8-DICUND-B	Acidobacteriota	D_undulatum	Brown	75055
S-9-DICUND-B	Acidobacteriota	D_undulatum	Brown	84297
S-1-DICUND-B	Actinobacteriota	D_undulatum	Brown	10903
S-3-DICUND-B	Actinobacteriota	D_undulatum	Brown	8429
S-4-DICUND-B	Actinobacteriota	D_undulatum	Brown	3455
S-5-DICUND-B	Actinobacteriota	D_undulatum	Brown	25193
S-6-DICUND-B	Actinobacteriota	D_undulatum	Brown	10006
S-7-DICUND-B	Actinobacteriota	D_undulatum	Brown	15982
S-8-DICUND-B	Actinobacteriota	D_undulatum	Brown	6307
S-9-DICUND-B	Actinobacteriota	D_undulatum	Brown	7368
S-1-DICUND-B	Actinomycetota	D_undulatum	Brown	3788
S-3-DICUND-B	Actinomycetota	D_undulatum	Brown	15731
S-4-DICUND-B	Actinomycetota	D_undulatum	Brown	9816
S-5-DICUND-B	Actinomycetota	D_undulatum	Brown	11294
S-6-DICUND-B	Actinomycetota	D_undulatum	Brown	29400
S-7-DICUND-B	Actinomycetota	D_undulatum	Brown	4937
S-8-DICUND-B	Actinomycetota	D_undulatum	Brown	52918
S-9-DICUND-B	Actinomycetota	D_undulatum	Brown	48048
S-1-DICUND-B	Bacteroidota	D_undulatum	Brown	276
S-3-DICUND-B	Bacteroidota	D_undulatum	Brown	0
S-4-DICUND-B	Bacteroidota	D_undulatum	Brown	112
S-5-DICUND-B	Bacteroidota	D_undulatum	Brown	101
S-6-DICUND-B	Bacteroidota	D_undulatum	Brown	461
S-7-DICUND-B	Bacteroidota	D_undulatum	Brown	250
S-8-DICUND-B	Bacteroidota	D_undulatum	Brown	744
S-9-DICUND-B	Bacteroidota	D_undulatum	Brown	399
S-1-DICUND-B	Cyanobacteria	D_undulatum	Brown	491
S-3-DICUND-B	Cyanobacteria	D_undulatum	Brown	102
S-4-DICUND-B	Cyanobacteria	D_undulatum	Brown	398
S-5-DICUND-B	Cyanobacteria	D_undulatum	Brown	949
S-6-DICUND-B	Cyanobacteria	D_undulatum	Brown	300
S-7-DICUND-B	Cyanobacteria	D_undulatum	Brown	17175
S-8-DICUND-B	Cyanobacteria	D_undulatum	Brown	144
S-9-DICUND-B	Cyanobacteria	D_undulatum	Brown	153
S-1-DICUND-B	Eremiobacterota	D_undulatum	Brown	1153
S-3-DICUND-B	Eremiobacterota	D_undulatum	Brown	1117
S-4-DICUND-B	Eremiobacterota	D_undulatum	Brown	462
S-5-DICUND-B	Eremiobacterota	D_undulatum	Brown	1880
S-6-DICUND-B	Eremiobacterota	D_undulatum	Brown	1906
S-7-DICUND-B	Eremiobacterota	D_undulatum	Brown	942
S-8-DICUND-B	Eremiobacterota	D_undulatum	Brown	466
S-9-DICUND-B	Eremiobacterota	D_undulatum	Brown	828
S-1-DICUND-B	Others	D_undulatum	Brown	449
S-3-DICUND-B	Others	D_undulatum	Brown	431
S-4-DICUND-B	Others	D_undulatum	Brown	0
S-5-DICUND-B	Others	D_undulatum	Brown	94
S-6-DICUND-B	Others	D_undulatum	Brown	385
S-7-DICUND-B	Others	D_undulatum	Brown	4237
S-8-DICUND-B	Others	D_undulatum	Brown	812
S-9-DICUND-B	Others	D_undulatum	Brown	359
S-1-DICUND-B	Proteobacteria	D_undulatum	Brown	11607
S-3-DICUND-B	Proteobacteria	D_undulatum	Brown	3993
S-4-DICUND-B	Proteobacteria	D_undulatum	Brown	12478
S-5-DICUND-B	Proteobacteria	D_undulatum	Brown	20522
S-6-DICUND-B	Proteobacteria	D_undulatum	Brown	11780
S-7-DICUND-B	Proteobacteria	D_undulatum	Brown	6943
S-8-DICUND-B	Proteobacteria	D_undulatum	Brown	8017
S-9-DICUND-B	Proteobacteria	D_undulatum	Brown	2697
S-1-DICUND-B	Pseudomonadota	D_undulatum	Brown	7983
S-3-DICUND-B	Pseudomonadota	D_undulatum	Brown	15795
S-4-DICUND-B	Pseudomonadota	D_undulatum	Brown	4360
S-5-DICUND-B	Pseudomonadota	D_undulatum	Brown	7052
S-6-DICUND-B	Pseudomonadota	D_undulatum	Brown	8257
S-7-DICUND-B	Pseudomonadota	D_undulatum	Brown	7286
S-8-DICUND-B	Pseudomonadota	D_undulatum	Brown	6747
S-9-DICUND-B	Pseudomonadota	D_undulatum	Brown	4882
S-1-POLCOM-B	Acidobacteriota	P_commune	Brown	44916
S-2-POLCOM-B	Acidobacteriota	P_commune	Brown	23384
S-3-POLCOM-B	Acidobacteriota	P_commune	Brown	23944
S-4-POLCOM-B	Acidobacteriota	P_commune	Brown	33080
S-5-POLCOM-B	Acidobacteriota	P_commune	Brown	15691
S-6-POLCOM-B	Acidobacteriota	P_commune	Brown	58108
S-7-POLCOM-B	Acidobacteriota	P_commune	Brown	25294
S-8-POLCOM-B	Acidobacteriota	P_commune	Brown	42171
S-9-POLCOM-B	Acidobacteriota	P_commune	Brown	56575
S-1-POLCOM-B	Actinobacteriota	P_commune	Brown	20665
S-2-POLCOM-B	Actinobacteriota	P_commune	Brown	20334
S-3-POLCOM-B	Actinobacteriota	P_commune	Brown	10667
S-4-POLCOM-B	Actinobacteriota	P_commune	Brown	24409
S-5-POLCOM-B	Actinobacteriota	P_commune	Brown	9303
S-6-POLCOM-B	Actinobacteriota	P_commune	Brown	20966
S-7-POLCOM-B	Actinobacteriota	P_commune	Brown	23001
S-8-POLCOM-B	Actinobacteriota	P_commune	Brown	45286
S-9-POLCOM-B	Actinobacteriota	P_commune	Brown	38773
S-1-POLCOM-B	Actinomycetota	P_commune	Brown	1563
S-2-POLCOM-B	Actinomycetota	P_commune	Brown	2183
S-3-POLCOM-B	Actinomycetota	P_commune	Brown	4584
S-4-POLCOM-B	Actinomycetota	P_commune	Brown	4484
S-5-POLCOM-B	Actinomycetota	P_commune	Brown	1643
S-6-POLCOM-B	Actinomycetota	P_commune	Brown	2709
S-7-POLCOM-B	Actinomycetota	P_commune	Brown	4364
S-8-POLCOM-B	Actinomycetota	P_commune	Brown	4533
S-9-POLCOM-B	Actinomycetota	P_commune	Brown	3110
S-1-POLCOM-B	Bacteroidota	P_commune	Brown	3117
S-2-POLCOM-B	Bacteroidota	P_commune	Brown	7533
S-3-POLCOM-B	Bacteroidota	P_commune	Brown	4326
S-4-POLCOM-B	Bacteroidota	P_commune	Brown	26291
S-5-POLCOM-B	Bacteroidota	P_commune	Brown	12346
S-6-POLCOM-B	Bacteroidota	P_commune	Brown	5089
S-7-POLCOM-B	Bacteroidota	P_commune	Brown	7332
S-8-POLCOM-B	Bacteroidota	P_commune	Brown	6582
S-9-POLCOM-B	Bacteroidota	P_commune	Brown	5786
S-1-POLCOM-B	Cyanobacteria	P_commune	Brown	213
S-2-POLCOM-B	Cyanobacteria	P_commune	Brown	7015
S-3-POLCOM-B	Cyanobacteria	P_commune	Brown	65
S-4-POLCOM-B	Cyanobacteria	P_commune	Brown	902
S-5-POLCOM-B	Cyanobacteria	P_commune	Brown	1775
S-6-POLCOM-B	Cyanobacteria	P_commune	Brown	1407
S-7-POLCOM-B	Cyanobacteria	P_commune	Brown	0
S-8-POLCOM-B	Cyanobacteria	P_commune	Brown	6629
S-9-POLCOM-B	Cyanobacteria	P_commune	Brown	3309
S-1-POLCOM-B	Eremiobacterota	P_commune	Brown	43966
S-2-POLCOM-B	Eremiobacterota	P_commune	Brown	21767
S-3-POLCOM-B	Eremiobacterota	P_commune	Brown	36040
S-4-POLCOM-B	Eremiobacterota	P_commune	Brown	12609
S-5-POLCOM-B	Eremiobacterota	P_commune	Brown	9739
S-6-POLCOM-B	Eremiobacterota	P_commune	Brown	26802
S-7-POLCOM-B	Eremiobacterota	P_commune	Brown	17693
S-8-POLCOM-B	Eremiobacterota	P_commune	Brown	34072
S-9-POLCOM-B	Eremiobacterota	P_commune	Brown	44879
S-1-POLCOM-B	Others	P_commune	Brown	4059
S-2-POLCOM-B	Others	P_commune	Brown	4048
S-3-POLCOM-B	Others	P_commune	Brown	7494
S-4-POLCOM-B	Others	P_commune	Brown	21030
S-5-POLCOM-B	Others	P_commune	Brown	10027
S-6-POLCOM-B	Others	P_commune	Brown	6318
S-7-POLCOM-B	Others	P_commune	Brown	3847
S-8-POLCOM-B	Others	P_commune	Brown	13526
S-9-POLCOM-B	Others	P_commune	Brown	7693
S-1-POLCOM-B	Proteobacteria	P_commune	Brown	64098
S-2-POLCOM-B	Proteobacteria	P_commune	Brown	34043
S-3-POLCOM-B	Proteobacteria	P_commune	Brown	33608
S-4-POLCOM-B	Proteobacteria	P_commune	Brown	31136
S-5-POLCOM-B	Proteobacteria	P_commune	Brown	28827
S-6-POLCOM-B	Proteobacteria	P_commune	Brown	65914
S-7-POLCOM-B	Proteobacteria	P_commune	Brown	43909
S-8-POLCOM-B	Proteobacteria	P_commune	Brown	53033
S-9-POLCOM-B	Proteobacteria	P_commune	Brown	92108
S-1-POLCOM-B	Pseudomonadota	P_commune	Brown	16737
S-2-POLCOM-B	Pseudomonadota	P_commune	Brown	21290
S-3-POLCOM-B	Pseudomonadota	P_commune	Brown	34142
S-4-POLCOM-B	Pseudomonadota	P_commune	Brown	49609
S-5-POLCOM-B	Pseudomonadota	P_commune	Brown	32232
S-6-POLCOM-B	Pseudomonadota	P_commune	Brown	23154
S-7-POLCOM-B	Pseudomonadota	P_commune	Brown	30385
S-8-POLCOM-B	Pseudomonadota	P_commune	Brown	27232
S-9-POLCOM-B	Pseudomonadota	P_commune	Brown	25185
S-1-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	23647
S-10-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	21840
S-11-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	24169
S-12-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	19046
S-13-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	39412
S-14-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	28893
S-15-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	29252
S-16-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	22609
S-17-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	26450
S-18-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	51624
S-19-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	25485
S-2-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	21330
S-20-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	30004
S-21-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	20790
S-22-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	72213
S-23-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	79571
S-24-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	51313
S-25-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	17067
S-26-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	25091
S-27-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	25212
S-3-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	14564
S-7-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	58649
S-8-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	88852
S-9-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	57415
S-1-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	41888
S-10-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	15237
S-11-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14255
S-12-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	18782
S-13-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	20181
S-14-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	16067
S-15-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	23443
S-16-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	13631
S-17-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	17112
S-18-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	12879
S-19-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	20277
S-2-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	38757
S-20-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	26054
S-21-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	26490
S-22-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14530
S-23-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14249
S-24-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14241
S-25-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	28456
